id peak flux mag RA DEC
58 6476.0 9.912528956832528 -2.4904611725100425 45.88313215538375 50.784787555937825
64 752.0 1.1892368455520688 -0.18817089069496323 45.89981133739171 50.95065806553665
62 1673.0 2.3607633252413045 -0.9326311243106572 45.9018928372918 50.92771989580829
56 857.0 1.2502481737601194 -0.24249057211348654 45.90518306121084 50.834486768884574
37 2623.0 3.6670347095372504 -1.4107875517553086 45.91746992475843 50.54096549223591
78 4176.0 6.039391336088193 -1.952482929045316 45.92645682862987 51.36040590433379
81 13451.0 20.354573864865074 -3.2716550364919494 45.93230537172762 51.42242254320073
75 1084.0 1.6918053126870085 -0.5708759610445956 45.93865043638427 51.21968549933685
96 1834.0 2.992731444716263 -1.1901693670163693 45.943184043867134 51.70187089519887
108 1543.0 2.421172386855667 -0.9600642804970025 45.94418945356785 51.87982547227801
