['id', 'xcentroid', 'ycentroid', 'sharpness', 'roundness1', 'roundness2', 'npix', 'sky', 'peak', 'flux', 'mag']
 (285, 6.99601466e+02, 5.16367123e+02, 0.4347279 , -2.71036144e-01,  6.11450694e-02, 25, 0.,   194.,  1.04066094, -0.04327314)
 (286, 3.48758430e+02, 5.18196142e+02, 0.80901769, -1.19207524e-02,  9.65368745e-02, 25, 0.,  1176.,  3.47576077, -1.35262469)
 (287, 3.11977456e+02, 5.24659433e+02, 0.79339731,  2.14822003e-01,  1.46373334e-01, 25, 0.,  1020.,  3.18569697, -1.25801116)
 (288, 6.67837885e+02, 5.27234578e+02, 0.74827039,  3.46505218e-01,  2.36979143e-01, 25, 0.,   794.,  2.53222399, -1.0087553 )
 (289, 2.76230500e+02, 5.27363243e+02, 0.73555204,  6.89251479e-01,  3.23094625e-01, 25, 0.,   351.,  1.2386855 , -0.23240264)
 (290, 2.00967686e+02, 5.29865265e+02, 0.83903631, -1.23526201e-01, -1.96725805e-01, 25, 0.,   354.,  1.04674674, -0.04960405)
 (291, 4.23823793e+02, 5.29658927e+02, 0.78268149,  4.48317713e-01, -2.76780050e-01, 25, 0.,   345.,  1.11909209, -0.12216457)
 (292, 5.23368843e+02, 5.29883006e+02, 0.83714335, -6.21277467e-02, -1.04430015e-01, 25, 0.,  3058.,  8.99612612, -2.38513884)
 (293, 3.19143987e+02, 5.32014478e+02, 0.85444457, -3.62406235e-01, -2.01968641e-01, 25, 0.,  1027.,  3.1349902 , -1.24059047)
 (294, 7.15286595e+02, 5.37111162e+02, 0.7079052 ,  6.51019697e-02, -2.06732551e-01, 25, 0.,   274.,  1.07317028, -0.07667159)
 (295, 1.81643508e+02, 5.38293594e+02, 0.63661546,  9.71017490e-02,  4.45955700e-02, 25, 0.,   713.,  2.50024673, -0.99495717)
 (296, 2.67232477e+02, 5.38973782e+02, 0.819563  ,  1.72533892e-01,  1.31139927e-01, 25, 0.,   486.,  1.59411608, -0.50629986)
 (297, 1.27936532e+01, 5.42322996e+02, 0.74582137,  1.55828767e-01,  2.23530366e-01, 25, 0.,   492.,  1.42605724, -0.38534239)
 (298, 1.22147756e+02, 5.43849175e+02, 0.73239416, -3.14297115e-01, -1.92609658e-01, 25, 0.,   283.,  1.03764576, -0.04012279)
 (299, 7.32577879e+02, 5.44920646e+02, 0.40666898, -4.63619399e-01, -1.68573668e-02, 25, 0.,   307.,  1.51711306, -0.45254486)
 (300, 7.27530101e+02, 5.46017659e+02, 0.83605067, -1.94495598e-02, -1.03237424e-01, 25, 0.,   459.,  1.45671837, -0.408439  )
 (301, 1.38922885e+02, 5.48092912e+02, 0.91866051, -2.28989958e-02,  2.76494225e-02, 25, 0.,  2060.,  5.6766058 , -1.88522184)
 (302, 2.58819002e+02, 5.48125901e+02, 0.73626134, -3.85506496e-01, -1.06934649e-01, 25, 0.,   660.,  2.24148177, -0.87633803)
 (303, 4.14080735e+02, 5.47474244e+02, 0.63405946, -5.33468565e-01,  1.14097572e-01, 25, 0.,   310.,  1.14384615, -0.14591904)
 (304, 6.08057952e+02, 5.52040217e+02, 0.90868163,  3.81647579e-01,  2.12417614e-02, 25, 0.,   556.,  1.64808789, -0.54245092)
 (305, 6.87977577e+02, 5.52387200e+02, 0.63361042,  2.12827116e-01,  2.59163701e-01, 25, 0.,   389.,  1.4616259 , -0.41209058)
 (306, 5.77218260e+02, 5.52766066e+02, 0.67534665, -5.17236946e-01,  3.97634220e-02, 25, 0.,   327.,  1.1626644 , -0.16363593)
 (307, 6.85876518e+02, 5.55554853e+02, 0.79725053,  5.16451341e-01,  6.93140592e-01, 25, 0.,   339.,  1.14381393, -0.14588845)
 (308, 2.83952816e+02, 5.57972996e+02, 0.83971261,  2.92962007e-02,  1.78426200e-01, 25, 0.,   734.,  2.37918831, -0.94107204)
 (309, 1.25246421e+02, 5.58782865e+02, 0.45495882, -2.65070392e-01, -1.36774168e-01, 25, 0.,   185.,  1.11572221, -0.1188902 )
 (310, 2.48900198e+02, 5.59124861e+02, 0.89430637, -2.29064696e-01,  4.77757420e-02, 25, 0.,   330.,  1.01703447, -0.01833918)
 (311, 3.87339947e+02, 5.59248434e+02, 0.54080214,  8.13619970e-02, -4.81906512e-01, 25, 0.,   284.,  1.152495  , -0.15409762)
 (312, 1.59033796e+02, 5.64151611e+02, 0.73004488, -5.27081698e-01, -2.77635241e-02, 25, 0.,   382.,  1.3538925 , -0.32896046)
 (313, 4.75850500e+02, 5.65446323e+02, 0.74801143, -2.88897142e-01,  2.99761375e-01, 25, 0.,   763.,  2.51447489, -1.00111826)
 (314, 3.28098893e+02, 5.67185953e+02, 0.95450235,  5.05899312e-02,  1.17722183e-01, 25, 0.,  1934.,  5.24340047, -1.79903257)
 (315, 2.40206554e+01, 5.70825531e+02, 0.32786723,  5.83468149e-02,  5.48986472e-01, 25, 0.,   177.,  1.01824342, -0.01962904)
 (316, 3.56015222e+02, 5.72940452e+02, 0.91233581,  1.66084834e-01,  1.13200656e-01, 25, 0.,  1727.,  5.0411538 , -1.75632487)
 (317, 3.18080662e+02, 5.74131109e+02, 0.73268161, -2.19416808e-01, -4.36704023e-01, 25, 0.,   311.,  1.15097255, -0.15266241)
 (318, 4.52327196e+02, 5.78334251e+02, 0.68596074,  3.04071512e-01, -4.76083595e-02, 25, 0.,  5245., 18.11014711, -3.14480495)]
